YEAR,INSTNM,CITY,STATE,COUNTRY,INST_TYPE,NT_TUT_REV,INST_EXP,AVG_FAC_SAL,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,TS_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_MS,HL_ED_HS,HL_ED_PS,CPR
2010,Thomas More University,Crestview Hills,Kentucky,United States,Private,11625,3870,4287,1414,0.476,0.524,0.145833333,0.698611111,0.027777778,0.2999,0.194444444,0.1625,0.184722222,0.227777778,0.230555556,0.02359882,0.491150443,0.485250738,0.5148
2010,Louisiana Tech University,Ruston,Louisiana,United States,Public,5610,5435,5832,8695,0.5234,0.4766,0.10553528,0.785583942,0.033759124,0.14,0.356143552,0.159367397,0.165754258,0.177007299,0.141727494,0.015625,0.416015625,0.568359375,0.4984
2010,Frostburg State University,Frostburg,Maryland,United States,Public,4072,4825,6092,4250,0.4774,0.5226,0.037148594,0.866465864,0.013052209,0.0595,0.231927711,0.12751004,0.174196787,0.201807229,0.264558233,0.021175225,0.397564849,0.581259926,0.4774
2010,Salisbury University,Salisbury,Maryland,United States,Public,4385,4218,6021,5719,0.4342,0.5658,0.04004904,0.875766244,0.010625255,0.0773,0.172047405,0.107887209,0.149979567,0.211687781,0.358398038,0.013107822,0.350951374,0.635940803,0.6807
2010,Towson University,Towson,Maryland,United States,Public,5396,4010,6250,13227,0.3953,0.6047,0.05065123,0.808559024,0.016745917,0.1248,0.218730618,0.111639446,0.147405417,0.179036593,0.343187926,0.013319012,0.328893663,0.657787326,0.6149
2010,Bridgewater State University,Bridgewater,Massachusetts,United States,Public,3653,4026,5731,6592,0.3803,0.6197,0.061442237,0.80941869,0.013980868,0.1647,0.229580574,0.146063282,0.176968359,0.227740986,0.219646799,0.021747726,0.386714116,0.591538157,0.4627
2010,Fitchburg State University,Fitchburg,Massachusetts,United States,Public,2776,4261,5559,2760,0.4188,0.5812,0.060606061,0.816345271,0.015610652,0.1957,0.229568411,0.144168962,0.17630854,0.215794307,0.23415978,0.020792079,0.392079208,0.587128713,0.4129
2010,Northeastern University,Boston,Massachusetts,United States,Private,14959,9136,7537,19205,0.4978,0.5022,0.028763483,0.865405659,0.004846022,0.2729,0.204001876,0.124277005,0.158980772,0.17508207,0.337658277,0.019818332,0.246407927,0.733773741,0.5107
2010,Westfield State University,Westfield,Massachusetts,United States,Public,3377,4214,5583,4062,0.4429,0.5571,0.041829336,0.865588399,0.011712214,0.1194,0.175683213,0.115448968,0.162297825,0.278862242,0.267707752,0.017411492,0.36506094,0.617527568,0.5336
2010,Central Michigan University,Mount Pleasant,Michigan,United States,Public,4478,4333,6323,19274,0.4033,0.5967,0.051207217,0.851684797,0.011674184,0.1416,0.192093394,0.135845052,0.193420005,0.234146989,0.244494561,0.009020261,0.416874827,0.574104913,0.5143
2010,Grand Valley State University,Allendale,Michigan,United States,Public,5003,4580,5905,15969,0.4013,0.5987,0.083193512,0.797958613,0.012304251,0.1669,0.204697987,0.130872483,0.192114094,0.232941835,0.239373602,0.01044235,0.393038434,0.596519217,0.4614
2010,Lawrence Technological University,Southfield,Michigan,United States,Private,10279,6377,6396,2957,0.7555,0.2445,0.10805501,0.691552063,0.040275049,0.4897,0.24459725,0.15324165,0.16502947,0.201375246,0.235756385,0.027513228,0.383068783,0.589417989,0.4528
2010,Michigan State University,East Lansing,Michigan,United States,Public,6221,8605,8112,27657,0.4732,0.5268,0.030907977,0.878819718,0.008930917,0.1432,0.218457228,0.104719377,0.14455827,0.197530864,0.334734261,0.010464058,0.281528662,0.708007279,0.685
2010,Northern Michigan University,Marquette,Michigan,United States,Public,4172,4567,6064,7517,0.4663,0.5337,0.067421513,0.79516212,0.029593412,0.1063,0.29387545,0.121461657,0.210241894,0.210756562,0.163664436,0.011342155,0.415338914,0.573318931,0.4646
2010,Spring Arbor University,Spring Arbor,Michigan,United States,Private,6477,4324,4630,2173,0.3281,0.6719,0.405538462,0.332923077,0.061538462,0.1694,0.251076923,0.172307692,0.202461539,0.235076923,0.139076923,0.034482759,0.433962264,0.531554977,0.5407
2010,Western Michigan University,Kalamazoo,Michigan,United States,Public,4908,4711,6853,22921,0.4805,0.5195,0.045578312,0.855925181,0.014679768,0.1359,0.191073754,0.111755653,0.164200308,0.21250148,0.320468806,0.008817046,0.339333823,0.651849131,0.5318
2010,St Catherine University,Saint Paul,Minnesota,United States,Private,9629,5796,5109,3436,0.0204,0.9796,0.226904376,0.458670989,0.01080497,0.3318,0.285251216,0.206374933,0.176661264,0.176121016,0.155591572,0.028571429,0.333738602,0.63768997,0.6109
2010,Winona State University,Winona,Minnesota,United States,Public,3428,3571,5968,6933,0.3655,0.6345,0.06539075,0.84784689,0.014035088,0.1077,0.163636364,0.110047847,0.201594896,0.272408294,0.2523126,0.01025641,0.347350427,0.642393162,0.4708
